"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"ARHGAP10",1368,1310,3327,1382,442,564,537,420,993,193,1087,338,706,46,36,30
"ARHGAP11A",2551,3109,9961,4134,387,1463,757,334,1222,627,2548,930,900,54,35,13
"ARHGAP11B-DT",95,96,225,92,88,102,63,59,83,27,84,29,68,3,3,1
"ARHGAP12",4246,4133,11024,3560,3735,4231,4075,2833,3516,1105,4102,1394,2828,176,245,109
"ARHGAP15",11687,15443,29837,11014,16022,18552,14520,11430,10379,2743,12887,3611,7977,568,557,330
"ARHGAP17",631,924,1370,757,685,1177,1054,1232,1277,293,1156,301,1551,74,143,34
"ARHGAP18",964,1310,2732,1236,425,761,822,358,681,243,818,321,444,121,124,83
"ARHGAP19",2657,3631,7696,4247,1189,1872,1400,763,2120,683,2728,964,1415,73,98,48
"ARHGAP20",112,160,122,67,8,14,2,1,17,7,11,3,15,0,2,0
"ARHGAP21",1845,4465,5464,2915,2516,3516,2339,1942,1702,626,2035,998,1779,164,102,122
"ARHGAP22",246,446,472,266,26,167,14,43,160,28,144,42,70,4,2,1
"ARHGAP23",130,352,463,433,9,47,10,35,189,55,154,61,212,3,2,0
"ARHGAP24",192,108,142,138,15,10,130,34,82,33,79,23,75,23,114,9
"ARHGAP25",1132,1986,4439,1489,4529,5494,4013,2513,3738,1194,3872,887,2699,386,658,159
"ARHGAP26",1847,2340,4811,2441,2081,2319,2083,1741,3291,968,3315,840,3578,223,319,163
"ARHGAP27",1712,2325,5747,2348,1568,2515,1826,1345,3334,884,3106,827,2473,266,380,128
"ARHGAP27P1-BPTFP1-KPNA2P3",35,84,109,51,52,109,76,91,211,36,188,37,218,3,1,1
"ARHGAP28",89,64,155,25,0,8,0,0,160,67,139,44,178,0,0,0
"ARHGAP29",108,80,261,47,2,5,0,0,177,41,143,54,254,2,0,0
"ARHGAP30",5569,13142,22492,10047,15992,21922,17812,8890,21765,6381,23040,6017,13971,1504,1890,627
"ARHGAP31",1423,2771,3981,1899,873,1064,978,623,1121,253,680,201,561,108,132,27
"ARHGAP32",2150,3110,6308,3165,2129,2749,2086,1780,3618,938,2918,974,3556,54,70,56
"ARHGAP33",271,298,641,508,92,235,96,148,317,61,257,76,360,8,6,5
"ARHGAP35",2709,4671,7911,5682,3055,3706,3839,2477,4268,1069,4029,1297,3759,246,269,142
"ARHGAP36",12,12,12,18,0,0,0,0,18,3,64,4,19,0,0,0
"ARHGAP39",47,101,268,153,27,25,6,20,173,82,200,43,199,1,1,0
"ARHGAP4",3715,6601,11152,6309,7550,11398,7304,5960,11568,2614,8999,2616,6875,867,838,354
"ARHGAP42",608,403,896,475,127,111,147,119,645,257,795,263,819,26,37,10
"ARHGAP44",12,13,61,19,6,3,7,3,32,16,40,7,48,0,1,1
"ARHGAP45",7477,18457,20941,12479,26314,38932,25682,22574,24705,6244,22235,5178,15483,2577,2331,1208
"ARHGAP5",15148,13443,40772,16242,12456,10952,10937,7618,4552,1824,6339,2627,4543,230,377,215
"ARHGAP5-AS1",59,47,140,55,23,21,12,15,27,10,35,8,18,0,0,2
"ARHGAP6",1,9,8,5,11,8,6,2,15,4,11,13,18,35,15,41
"ARHGAP9",2968,5270,7907,3988,6919,9323,6528,4596,6388,1489,5515,1598,4074,670,578,384
"ARHGDIA",1020,2545,3367,3285,1871,3700,2512,1805,3330,636,2092,721,2329,493,515,197
"ARHGDIB",38247,54804,103471,48931,62366,76894,57438,29682,39567,14811,48542,15960,22774,3717,4012,1880
"ARHGEF1",3906,8956,10345,7165,9321,18683,9567,10066,16362,3032,10609,2847,12145,1176,989,482
"ARHGEF10",196,346,1796,308,124,220,170,56,397,46,292,146,205,20,12,9
"ARHGEF11",179,296,446,273,1855,2812,1995,1558,334,110,433,82,346,174,151,31
"ARHGEF12",886,1250,1644,511,811,928,737,424,1602,461,1538,332,1724,181,159,169
"ARHGEF17",54,116,238,236,28,130,28,65,110,35,120,40,123,2,2,0
"ARHGEF18",230,753,811,741,1272,2039,1277,993,799,212,771,226,549,63,81,22
"ARHGEF19",164,189,479,139,231,330,201,153,344,78,366,57,223,19,25,8
"ARHGEF2",3848,6079,15156,6491,5820,7055,7257,3648,6914,2044,7016,1865,5360,570,871,284
"ARHGEF26",21,26,43,23,34,57,14,38,35,12,33,11,53,1,0,2
"ARHGEF28",43,36,75,24,8,2,7,3,139,39,158,28,145,4,0,4
"ARHGEF3",3919,6684,11976,6171,12814,12293,10807,5926,6744,2156,8586,2126,5919,568,560,337
"ARHGEF34P",7,28,35,15,79,246,95,83,74,15,117,14,40,3,8,2
"ARHGEF35",22,62,43,63,129,232,118,84,38,5,38,29,28,3,6,2
"ARHGEF35-AS1",13,46,20,28,86,202,49,136,41,18,65,21,34,6,1,3
"ARHGEF37",112,176,224,88,49,59,39,25,170,24,208,32,70,1,1,3
"ARHGEF39",159,168,371,210,10,57,29,3,57,25,63,29,36,4,0,3
"ARHGEF4",22,37,59,22,86,195,85,58,203,66,219,55,108,12,7,3
"ARHGEF40",60,98,136,90,52,85,63,70,152,29,185,51,176,87,71,18
"ARHGEF5",14,98,59,45,217,575,152,240,131,46,149,35,63,11,15,6
"ARHGEF6",18281,25691,42165,17989,17752,23235,16955,9490,18957,6023,21878,7307,12590,806,868,337
"ARHGEF7",4015,5570,9912,7129,3573,5531,3417,4044,9267,1669,8039,2192,7578,205,239,149
"ARHGEF9",1071,1967,2789,1276,1504,2094,1194,816,1660,547,1912,567,1285,113,55,60
"ARID1A",2077,4889,5114,4847,3625,5802,5133,4499,8933,1983,5958,1739,10663,446,485,265
"ARID1B",2536,5105,6581,4514,4901,6002,5986,5265,6203,1422,5117,1368,6242,309,426,237
"ARID2",4862,5735,15779,4919,3297,4878,4253,5500,6351,1996,6687,1900,6328,224,232,121
"ARID3A",211,536,733,553,574,1069,792,560,552,173,573,194,402,93,150,39
"ARID3B",413,884,1309,1085,1098,1342,1088,829,1353,307,1469,326,1120,109,92,56
"ARID4A",1910,3233,5890,2887,3256,4943,4121,3794,4973,1308,4792,1254,3795,189,232,117
"ARID4B",4449,9265,15358,6565,14341,17998,14423,13048,11623,3500,12951,3919,8328,508,547,341
"ARID5A",1287,2352,3248,1847,4163,6201,3116,3915,3442,823,2920,723,2232,232,112,170
"ARID5B",2654,4297,6921,4372,12526,11155,11937,8592,4604,1067,4346,1337,3295,286,572,236
"ARIH1",5569,7062,16924,6136,6233,7122,6353,6179,6127,1838,6272,1752,5561,298,350,188
"ARIH2",5782,7912,12861,6452,5859,8003,6101,4726,5951,1738,6282,1799,4001,425,369,215
"ARIH2OS",357,363,810,321,239,277,239,135,240,75,230,94,89,19,22,10
"ARL1",3468,3652,8861,3037,2443,2660,2186,1163,2132,782,2922,946,1548,78,147,55
"ARL10",405,448,1168,319,378,463,465,591,543,167,634,114,555,16,16,9
"ARL11",402,454,1514,450,50,66,52,21,221,76,145,118,206,14,38,5
"ARL13B",570,679,1849,591,604,681,561,293,819,298,1037,332,517,33,43,17
"ARL14EP",2321,2766,6708,1961,4403,4758,3439,1173,2282,853,2680,714,1631,156,177,51
"ARL15",490,527,1066,389,369,392,361,423,522,134,511,115,501,31,46,24
"ARL16",870,1136,1924,894,576,752,497,442,725,224,637,251,610,41,39,14
"ARL17A",547,1072,988,703,667,1318,466,861,982,237,1476,279,1964,40,15,11
"ARL17B",103,161,90,93,149,282,47,92,154,27,249,62,200,13,4,1
"ARL2",336,400,758,526,180,242,208,88,291,97,357,120,168,25,27,8
"ARL2BP",4686,6356,11392,4401,5307,6223,4682,2688,3233,1079,3892,1210,1917,248,202,124
"ARL3",694,684,1652,575,348,335,276,115,419,152,568,194,329,10,23,3
"ARL4A",2064,4191,6299,2618,4685,4754,4930,3288,1349,322,2326,794,862,335,339,224
"ARL4C",10967,16671,32521,24925,56454,45894,58995,33404,9437,2051,11291,2519,6764,2346,2318,1350
"ARL4D",75,42,179,57,29,38,53,13,84,14,66,20,28,4,19,3
"ARL5A",9860,12396,22369,10129,8230,9627,8395,4105,4489,1495,6177,2065,3093,412,490,218
"ARL5B",7835,7918,13490,8678,5558,7903,3928,4286,3965,1254,5356,1430,2905,203,169,147
"ARL5C",53,44,170,74,5,6,9,1,29,22,33,17,19,0,0,0
"ARL6",328,225,879,248,206,251,273,200,246,66,311,80,176,4,22,10
"ARL6IP1",11537,11333,28891,14783,7262,8079,7749,3345,5289,1928,7947,2665,3434,374,473,214
"ARL6IP4",13,29,41,44,46,53,25,39,37,7,44,3,16,2,1,0
"ARL6IP5",11551,15182,27207,9862,15800,20699,14544,7399,8277,2523,10403,2723,5391,861,1104,415
"ARL6IP6",1399,2608,5281,2153,881,1693,1328,586,1089,374,1372,407,812,61,74,32
"ARL8A",617,1005,1630,926,1001,1245,1141,656,1011,271,905,299,581,130,186,40
"ARL8B",6116,7090,16261,6587,4696,5649,4420,3401,3921,1349,5203,1739,2711,238,359,154
"ARL9",15,37,52,69,10,9,5,8,7,2,12,1,16,0,0,0
"ARMC1",3544,3997,9031,3147,2545,3892,2573,1439,2639,930,3675,1133,1711,127,143,75
"ARMC10",3991,4083,9219,4011,2201,2535,2277,1079,1781,638,2579,730,1393,111,139,53
"ARMC12",29,59,41,22,14,28,26,19,39,15,42,7,59,0,2,0
"ARMC2",350,422,751,394,524,604,467,363,283,74,385,92,317,22,17,9
"ARMC5",367,957,1325,846,337,740,404,357,664,183,606,219,434,95,54,34
"ARMC6",1906,2730,4916,2327,1085,1840,864,762,1476,451,1614,584,858,123,113,39
"ARMC7",182,284,785,250,321,383,327,142,440,135,367,88,282,21,44,7
"ARMC8",3652,4378,9014,3652,4128,5054,4217,3317,3503,954,4235,1228,2731,206,240,112
"ARMC9",225,222,614,284,38,53,33,39,283,57,304,88,164,3,6,3
"ARMCX1",803,979,3233,934,186,307,126,103,411,167,501,193,261,10,9,6
"ARMCX2",497,713,2130,744,229,323,259,92,661,232,892,226,465,12,31,3
"ARMCX3",1475,1819,6384,1983,976,1576,1096,870,2422,827,2730,748,1699,71,97,28
"ARMCX4",110,251,444,179,185,322,223,249,463,75,419,108,574,5,12,4
"ARMCX5",1248,1904,2826,1324,1145,1577,1092,673,1347,369,1654,526,875,46,38,20
"ARMCX5-GPRASP2",411,401,1010,436,344,397,334,178,345,121,479,120,272,16,14,4
"ARMCX6",762,883,2262,832,443,741,471,246,996,335,1074,326,546,30,33,10
"ARMH1",1666,2997,4679,2170,1278,1626,751,705,5689,1467,5027,1317,5177,93,43,39
"ARMH3",1448,1648,3786,1680,1750,2177,1895,1278,1574,404,1757,431,1468,98,155,42
"ARMH4",14,12,120,11,2,5,5,0,30,4,30,16,37,0,0,0
"ARMT1",1739,2005,5282,1653,1080,1830,1145,617,1041,403,1615,448,731,63,107,17
"ARNILA",18,23,60,28,70,49,61,60,86,7,64,15,89,2,2,1
"ARNT",1894,2508,6180,2461,2521,4094,2773,1539,3839,1021,3288,1007,2639,211,216,78
"ARNT2",67,60,91,69,2,6,2,1,73,20,67,14,56,0,2,0
"ARNTL",861,1274,1765,570,1126,1342,1131,1448,3403,948,3058,705,2795,99,73,66
"ARNTL2",700,889,1813,909,56,357,193,100,503,117,540,211,332,10,27,3
"ARPC1A",1806,1955,4871,2113,1598,1849,1532,1080,1527,494,1899,569,1023,85,99,57
"ARPC1B",3440,6527,7826,4432,6090,10380,6178,3459,5167,1614,5613,1729,2690,935,968,355
"ARPC2",14635,22491,33642,16918,17828,24811,18317,10647,16152,5540,18036,6002,9862,1703,1878,819
"ARPC3",12254,14779,22086,11835,11398,14409,10149,5342,7383,2560,10060,3351,4198,932,1208,370
"ARPC4",4790,6647,9820,4994,5166,6559,4477,2862,2871,759,2725,884,1452,336,337,172
"ARPC5",21668,27713,47496,17893,15723,21205,13640,6886,13466,4366,16536,4665,7493,929,1045,411
"ARPC5L",1114,1603,3043,1500,832,1637,891,723,1196,398,1368,418,838,114,76,47
"ARPIN",97,202,185,211,14,55,53,17,96,19,83,23,77,48,33,12
"ARPP19",19413,20932,45265,18433,12753,15763,12507,8044,10113,3185,11947,4094,7547,549,738,372
"ARPP21",5576,6029,21472,8361,11,15,41,18,1857,786,2504,1417,2284,11,0,0
"ARRB1",1791,3816,5730,3637,1725,3189,2320,1659,2555,845,3179,896,1656,369,294,125
"ARRB2",1416,2922,3474,2241,4681,8139,4212,3090,3800,1249,4219,1188,2799,656,506,215
"ARRDC1",361,587,1147,539,593,868,608,572,917,243,837,210,593,73,100,37
"ARRDC1-AS1",326,489,851,447,509,595,482,296,549,156,621,172,425,35,17,17
"ARRDC2",2136,5741,3492,3433,20263,22989,8133,10004,3061,563,2922,964,1888,624,308,318
"ARRDC3",11219,16550,26077,7241,12041,21993,14395,4995,10518,2839,11997,3730,5671,762,638,227
"ARRDC3-AS1",153,133,187,79,101,112,87,72,90,26,77,15,75,9,6,3
"ARRDC4",2098,1710,7195,2176,402,758,715,732,699,188,1195,254,682,67,90,23
"ARRDC5",44,95,83,65,237,281,281,149,354,79,308,101,292,16,12,7
"ARSA",280,507,690,446,616,799,508,554,732,180,546,183,511,61,51,29
"ARSB",825,1211,2081,1366,548,753,725,401,484,160,525,180,435,68,86,26
"ARSD",278,524,1040,548,137,242,186,98,320,95,344,121,182,50,101,16
"ARSG",399,526,887,520,600,553,509,401,889,216,772,223,660,63,43,31
"ARSK",556,687,1570,632,705,796,653,294,481,155,799,199,404,36,35,16
"ARV1",824,881,2478,711,574,922,648,204,920,248,1071,347,500,35,53,12
"ARVCF",113,214,550,235,65,190,84,94,268,24,201,69,164,21,11,12
"ASAH1",2704,3380,5868,2554,3654,4209,3389,1787,2041,666,3106,833,1488,595,739,218
"ASAH2",114,131,376,94,200,216,113,87,138,35,166,40,104,7,7,3
"ASAH2B",215,328,499,222,306,378,195,123,259,82,352,93,134,6,6,4
"ASAP1",1888,3050,3091,2180,2426,2615,2726,2029,2889,638,2423,629,3187,171,142,104
"ASAP1-IT2",18,46,27,35,32,19,32,59,39,10,18,6,72,0,1,1
"ASAP2",70,221,326,232,25,60,29,40,137,35,150,71,106,27,10,26
"ASAP3",12,20,58,30,16,11,26,15,65,19,54,22,54,2,5,1
"ASB1",935,1362,2748,1144,1396,1357,1384,760,1988,561,2567,663,1518,120,138,74
"ASB13",643,779,1406,496,277,483,326,209,227,57,192,103,75,23,26,4
"ASB16-AS1",273,474,874,454,385,494,472,290,473,128,454,129,415,15,30,7
"ASB2",53,109,171,65,69,37,96,44,61,24,37,3,35,5,10,7
"ASB3",393,405,847,391,523,403,298,411,313,99,232,50,260,10,12,14
"ASB6",930,1375,2537,1440,1446,1712,1173,902,1370,383,1224,350,962,106,118,65
"ASB7",1878,2225,5035,2016,2704,3388,2660,1697,2588,735,2710,689,1541,152,115,68
"ASB8",1667,2412,5565,1722,2625,3313,2681,2049,1771,499,2051,595,1161,120,133,62
"ASB9",360,525,947,560,96,230,39,81,131,68,211,94,63,9,2,2
"ASCC1",1998,2009,3786,1667,2008,1910,1295,730,1328,522,1668,572,957,68,97,28
"ASCC2",1017,2140,3151,2095,1979,3108,1950,1523,2398,648,2253,700,1783,172,195,74
"ASCC3",9031,10308,25778,8867,7090,10362,7289,6785,7832,2413,9364,2982,5757,297,358,190
"ASCL2",2,11,17,8,8,8,15,4,23,11,19,10,9,10,19,10
"ASF1A",5160,5348,15322,4334,2945,4132,3188,1300,3305,1197,4814,1307,1923,160,175,72
"ASF1B",1737,2030,4446,2340,172,671,246,103,421,208,693,321,336,36,14,15
"ASGR1",6,20,32,4,3,4,1,1,24,9,32,2,53,17,19,4
"ASH1L",6544,10349,17476,8955,11793,11438,12051,10263,11051,2838,11333,2766,10797,540,606,432
"ASH1L-AS1",319,420,691,394,429,466,388,272,189,41,191,69,107,13,8,5
"ASH2L",2108,2721,5906,2720,2155,2765,2158,1460,1958,650,2528,797,1513,133,175,59
"ASIC1",80,237,279,187,60,186,67,80,685,156,511,122,616,17,2,5
"ASIC3",15,12,38,20,41,50,41,55,63,4,81,9,78,3,0,6
"ASL",130,186,206,116,184,280,157,132,194,39,95,54,89,42,42,17
"ASMTL",1307,1770,3285,1813,1296,1494,1141,708,1091,375,1171,460,767,113,134,52
"ASMTL-AS1",21,35,73,31,31,31,31,42,125,9,67,15,167,2,1,2
"ASNS",526,693,1270,380,756,1063,828,496,1333,233,1136,313,812,27,39,9
"ASNSD1",4979,5985,12349,4966,4590,6054,3930,2692,3247,1247,4669,1332,1899,193,231,148
"ASPH",2379,2585,6096,2566,1369,1454,1538,847,1416,465,1757,660,1055,89,72,40
"ASPHD2",119,230,434,233,146,204,248,76,137,53,241,41,119,20,76,7
"ASPM",4829,5051,17047,7928,272,2114,634,380,2401,1111,4477,1726,2168,82,20,35
"ASPN",19,68,9,6,0,1,0,0,28,61,46,144,36,0,0,0
"ASPRV1",65,89,96,88,70,99,50,43,110,21,106,20,112,7,2,2
"ASPSCR1",611,1023,1716,701,672,1289,730,599,1307,300,1341,314,995,59,87,29
"ASRGL1",689,903,1525,935,117,238,90,41,518,78,507,207,186,19,15,8
"ASS1P1",23,30,72,53,12,38,17,15,43,26,48,14,66,5,3,2
"ASTE1",1300,1702,3639,1205,2173,1861,1910,1398,1267,360,1480,372,765,74,91,63
"ASTL",35,87,70,82,24,40,24,16,64,15,20,17,61,0,3,1
"ASTN2",120,131,377,141,175,143,160,163,223,75,213,39,248,3,5,6
"ASXL1",4178,7636,10877,5753,6459,13049,7714,8262,8635,2311,8772,2059,6926,383,339,162
"ASXL2",1961,2498,5248,2493,3409,3523,3669,2438,4451,973,3546,844,4466,217,266,115
"ASXL3",7,8,55,10,3,1,0,0,44,3,27,13,27,0,0,0
"ATAD1",4653,4690,13664,4342,4752,4822,4160,2855,4010,1524,5780,1556,3037,183,244,90
"ATAD2",6714,6866,23109,7211,1671,4574,2228,1892,3326,1492,5249,2007,2781,143,129,81
"ATAD2B",5189,6804,15442,4932,5238,6748,4731,5144,7790,2035,8306,2253,6488,264,320,143
"ATAD3A",529,1236,1657,1273,524,868,501,449,811,234,815,290,506,59,46,28
"ATAD3B",922,1894,1877,1513,716,2063,506,1289,713,611,1600,464,993,103,46,56
"ATAD3C",50,30,124,17,34,89,39,29,59,19,55,19,49,3,1,0
"ATAD5",2185,3553,6241,3597,805,1915,1027,850,1622,514,2010,720,1500,55,47,27
"ATAT1",243,282,572,353,99,164,123,87,361,103,299,87,327,5,5,2
"ATE1",4007,4999,11509,4032,3997,5315,4382,2620,3323,960,3918,1220,2526,216,252,112
"ATE1-AS1",41,38,114,45,23,22,28,19,36,14,41,7,10,1,1,0
"ATF1",3043,3390,9003,2764,2757,3412,2512,1044,2140,756,2866,892,1534,141,132,52
"ATF2",7041,7203,22410,6883,6252,7280,6228,4570,5731,2098,7403,1940,4395,249,350,150
"ATF3",279,477,487,651,58,182,135,122,176,50,183,88,102,83,81,42
"ATF4",10696,17011,22113,17162,11856,18879,8719,7988,11135,3563,13792,4586,7184,1076,572,524
"ATF5",221,505,815,577,292,490,341,317,295,58,263,92,185,47,28,14
"ATF6",7626,7420,16010,7205,9697,7443,7167,4167,4808,1378,6294,1682,3497,333,417,159
"ATF6B",1581,2906,5013,3175,2898,4111,3044,2105,2999,922,3047,1119,2247,293,351,144
"ATF7",308,479,823,404,453,551,571,571,661,155,578,114,964,33,49,25
"ATF7IP",10781,14598,26729,10812,18033,17116,17754,11141,19940,5106,19469,4689,16729,790,949,549
"ATF7IP2",6004,6705,10037,4626,11097,13167,7848,6322,4890,1421,6755,1425,3529,274,225,135
"ATG10",870,1332,3305,1357,471,763,510,436,579,287,804,167,603,17,33,21
"ATG101",874,1284,2365,1070,673,877,484,368,829,326,985,252,595,66,53,21
"ATG12",4476,5930,11404,4741,6384,6217,5579,3899,3874,987,4488,1241,2575,240,240,147
"ATG13",2933,4074,8428,3865,3901,4578,3937,3560,3492,1007,3487,1049,2587,305,308,124
"ATG14",866,1671,1995,1236,2391,3425,2147,2669,1475,453,1861,547,1321,84,81,47
"ATG16L1",2368,3321,4773,2785,3431,5114,3302,3431,3531,807,3573,794,2795,201,174,133
"ATG16L2",404,832,1052,796,840,1946,916,1062,1210,238,902,308,956,123,83,36
"ATG2A",901,1675,2716,1499,2084,3315,2244,2044,1795,373,1352,343,1203,189,180,194
"ATG2B",3534,4195,10903,3674,4148,6177,4417,5226,5663,1513,5901,1544,4986,179,215,135
"ATG3",5476,5329,12234,4591,3065,3811,2667,1625,2902,987,3501,1129,1847,181,263,75
"ATG4A",864,944,2292,770,704,975,856,353,924,307,1159,353,624,50,76,24
"ATG4B",1940,2881,4667,2357,1940,3002,1684,1595,2674,618,2313,636,1706,144,129,62
"ATG4C",1434,1330,4526,1197,1003,1362,965,528,1105,342,1358,407,766,55,62,19
"ATG4D",486,721,1719,740,489,725,585,469,920,217,791,222,551,72,46,20
"ATG5",2934,3331,6712,2327,3528,3638,2861,2289,1956,598,2354,819,1536,123,157,75
"ATG7",1415,1632,3616,1412,1383,1364,1109,1204,1123,300,1170,345,980,100,137,48
"ATG9A",951,1770,3247,1649,1549,2547,1744,1576,2002,531,1985,558,1470,163,189,112
"ATG9B",80,115,191,87,357,316,332,183,214,79,289,69,169,14,12,9
"ATIC",1228,1283,2825,1672,609,1107,653,785,895,267,799,303,1120,77,81,35
"ATL1",353,260,1458,341,169,237,165,79,245,73,288,103,120,2,13,6
"ATL2",3651,4055,11029,4074,2225,2525,2005,2206,3152,879,3646,1045,2634,86,114,47
"ATL3",11535,11638,31041,11059,11315,11664,10736,5627,6400,2082,7706,2296,4400,494,740,328
"ATM",32046,32923,70393,26022,84224,81368,80160,61328,65522,17600,77809,17680,51888,2829,3624,2106
"ATMIN",6165,8152,16097,6022,7180,7807,7865,3718,5224,1841,7109,2148,3772,393,430,227
"ATN1",117,257,268,205,109,200,163,186,280,106,281,88,393,22,11,12
"ATOX1",751,1088,1737,957,678,900,688,563,792,210,744,300,614,54,40,18
"ATP10A",479,788,1581,893,3537,4744,2562,4484,908,235,1287,252,664,237,131,131
"ATP10B",164,93,149,98,0,0,0,0,188,48,215,82,280,0,1,0
"ATP10D",810,936,3290,960,620,511,816,232,2196,480,1822,530,1199,77,204,44
"ATP11A",1163,2182,3207,1713,1833,3091,2248,2748,1760,461,1616,406,2027,203,162,55
"ATP11B",16211,21229,44092,18510,21623,23015,22127,15884,20115,5783,24804,6938,15100,864,856,527
"ATP11C",3917,5491,12538,5262,3415,4613,3532,2603,4405,1250,5442,1541,3274,225,241,111
"ATP13A1",913,1624,2592,1452,1412,2520,1513,1301,1981,526,1615,473,1469,131,176,68
"ATP13A2",531,1174,1682,1034,937,1635,1124,807,1126,287,912,345,727,134,121,44
"ATP13A3",6516,8100,20531,8137,5518,9116,7594,5533,5910,1760,6427,2276,4588,279,428,170
"ATP13A3-DT",34,53,91,28,34,96,50,22,30,10,29,12,17,2,3,0
"ATP13A4",26,26,95,23,37,9,66,24,223,12,154,27,102,4,0,1
"ATP1A1",4473,7392,12709,8737,11204,14967,12850,10883,6352,1392,4471,1399,4842,893,902,367
"ATP1A1-AS1",98,109,456,80,69,89,64,24,161,56,126,60,111,9,4,3
"ATP1A3",137,350,425,310,87,86,109,81,629,206,554,187,626,16,24,8
"ATP1B1",739,2071,1518,1203,360,795,231,254,506,182,641,198,470,31,10,17
"ATP1B1P1",47,35,104,52,98,35,32,79,44,6,30,7,51,0,2,1
"ATP1B3",3969,4464,8831,5022,1927,2424,2017,1457,1771,626,2224,1008,1258,157,209,106
"ATP23",886,776,2231,1091,297,488,414,296,347,197,587,223,266,17,23,14
"ATP2A1",15,43,54,37,3,15,12,14,31,6,39,6,24,0,0,1
"ATP2A1-AS1",67,105,114,124,28,61,26,18,38,16,51,21,32,0,2,1
"ATP2A2",3458,5046,9074,4045,3036,4881,3739,4527,3981,967,3827,1074,3744,261,245,169
"ATP2A3",4627,10011,15223,11783,6680,11586,7235,6115,12319,2835,8622,2713,9702,864,1406,529
"ATP2B1",4147,6592,13150,4960,11023,15406,9286,15777,5282,1361,5573,1692,4170,591,786,274
"ATP2B1-AS1",319,333,564,242,491,443,463,276,303,84,318,87,180,162,130,27
"ATP2B2",3,11,12,15,0,3,0,0,86,5,47,8,35,0,0,0
"ATP2B3",3,26,36,25,9,54,26,31,24,5,11,9,13,0,0,0
"ATP2B4",6479,6948,19829,9148,6604,9006,7832,5313,5358,2010,5435,1765,5683,524,542,261
"ATP2C1",4988,5910,13720,5716,2947,4425,3309,3049,4822,1355,5259,1684,4516,179,187,109
"ATP2C2-AS1",58,212,127,86,16,164,57,63,375,57,257,76,240,3,6,4
"ATP5F1A",45416,48164,107350,45432,22041,29180,19509,12214,18115,6997,24296,8351,10365,1330,1433,599
"ATP5F1B",27171,30108,64796,31120,13164,21553,13207,8026,13866,4734,17255,6280,8348,1210,1106,510
"ATP5F1C",17201,19503,32507,14642,10477,14375,8013,4876,7293,2592,9073,3244,4454,625,486,325
"ATP5F1D",363,737,1060,833,817,1054,913,492,826,247,778,238,473,93,97,39
"ATP5F1E",14421,22447,34522,15277,17001,19322,14681,8540,7371,2836,10939,3087,4171,803,836,387
"ATP5IF1",3387,4424,7152,3861,3140,3610,2674,1537,2309,790,2672,824,1448,153,138,66
"ATP5MC1",2519,2697,4943,2652,1032,1679,956,599,1033,344,1486,495,685,70,68,24
"ATP5MC2",9570,11400,23022,12189,9905,10116,6875,4277,5595,2168,6887,2287,3325,629,643,264
"ATP5MC3",10193,11352,20387,10429,4228,6199,3778,2675,3762,1109,4217,1437,2167,253,234,124
"ATP5ME",5389,6565,10797,5012,3733,4279,3162,1866,2183,720,2848,980,1198,162,171,100
"ATP5MF",2824,2970,4245,2837,1499,1900,1223,849,1518,569,1875,785,909,91,72,34
"ATP5MG",13921,14203,26795,11960,12296,13371,9597,5466,7404,2761,10278,2974,4589,502,505,232
"ATP5MGL",14,18,77,22,46,24,50,29,14,4,30,7,17,0,0,0
"ATP5MJ",5578,6639,10843,6006,3989,5700,3627,2400,2636,965,3492,998,1515,170,180,97
"ATP5MK",6828,7992,14046,5830,3842,4374,3333,1469,2223,859,3333,1212,1477,123,136,60
"ATP5PB",16248,15920,34565,14043,8323,11528,6977,4174,5858,2389,8795,2979,3474,548,629,219
"ATP5PBP1",16,38,101,53,44,29,33,98,47,4,36,16,53,1,3,1
"ATP5PBP5",14,34,58,25,10,1,25,10,39,7,21,12,18,0,1,0
"ATP5PD",6437,7265,13103,6244,5625,5873,4391,2173,2425,944,3973,1250,1512,257,246,124
"ATP5PF",3642,4365,8347,4628,2411,3003,2158,981,2108,712,2882,1019,1422,68,83,28
"ATP5PO",3172,3446,5626,3160,2147,2529,1796,1244,1575,593,2117,625,903,125,137,63
"ATP6AP1",1573,2698,4551,2291,1854,2326,1976,1197,2166,606,2087,640,1253,266,261,98
"ATP6AP1L",2341,2039,8379,2511,65,216,90,70,558,399,970,449,771,5,2,1
"ATP6AP2",6563,9120,14296,6372,7579,8217,6681,3957,4428,1485,5959,1793,2937,508,556,223
"ATP6V0A1",1049,1408,2712,914,605,856,527,565,1039,296,1101,272,941,42,91,14
"ATP6V0A2",4009,4796,11878,4241,2748,4212,2772,2593,4851,1474,5302,1670,3065,151,169,93
"ATP6V0A4",49,49,150,21,1,0,2,0,45,12,38,25,46,0,0,0
"ATP6V0B",2172,2305,4918,2189,984,1415,1034,680,1268,414,1352,448,681,204,269,71
"ATP6V0C",22,48,33,52,70,62,79,52,54,5,27,9,26,0,2,1
