"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"AFTPH",5547,7170,15291,5024,6073,7269,6201,3237,6475,1943,8010,2139,4576,371,524,182
"AFTPH-DT",175,100,192,89,21,45,50,13,68,14,61,34,35,5,18,2
"AGA",1441,1773,4398,1011,1359,1779,1672,550,1044,355,1307,496,688,89,113,36
"AGA-DT",27,20,42,40,55,60,34,37,36,15,23,15,24,0,1,0
"AGAP1",22,54,48,57,44,90,60,45,111,31,67,17,99,7,18,18
"AGAP2",1290,2741,4876,2369,2916,4648,3312,1749,5748,1360,5035,1298,3587,334,351,185
"AGAP3",205,354,402,265,298,661,324,351,355,86,343,82,211,61,57,18
"AGAP4",94,165,203,141,194,558,245,270,482,116,472,103,440,8,11,6
"AGAP5",20,21,72,37,10,13,24,26,35,10,25,8,35,1,0,0
"AGAP6",121,263,249,153,225,613,279,320,801,191,794,176,737,13,8,6
"AGAP9",49,128,147,77,104,242,94,166,284,75,58,53,158,10,5,7
"AGBL2",108,115,290,115,208,207,206,125,161,48,223,35,173,9,10,4
"AGBL3",154,163,369,156,96,222,216,195,271,61,499,76,287,9,4,7
"AGBL5",1487,1884,3934,2258,524,868,611,431,895,343,1062,392,698,59,27,30
"AGER",82,106,161,68,83,305,157,182,529,91,449,97,590,7,4,8
"AGFG1",5065,5386,15537,4899,5350,5788,6303,5163,5999,1722,6481,1846,4655,237,363,151
"AGFG2",347,517,1019,351,799,809,800,430,743,198,726,158,544,59,85,39
"AGGF1",4420,5089,12164,3554,4693,5380,4396,2490,4961,1541,6114,1849,3128,199,185,96
"AGGF1P1",17,10,215,56,5,6,6,16,23,35,43,1,46,1,0,0
"AGGF1P2",9,7,117,29,7,3,3,9,13,20,25,1,28,0,0,0
"AGGF1P3",12,6,76,24,3,1,2,0,7,9,15,3,13,0,0,0
"AGK",1954,2397,4552,1978,1607,2416,1440,1104,1458,467,1640,675,1029,146,103,85
"AGL",3572,3210,9718,2933,2116,2968,2714,1527,3034,912,3508,1074,2356,111,215,69
"AGMAT",477,1282,1200,472,1836,2233,1651,895,666,243,984,210,514,70,49,36
"AGO1",2819,4164,8046,4745,4656,4516,4390,3089,4351,1195,4034,1086,3564,280,289,122
"AGO2",5108,7447,13465,7207,7827,8292,7823,6488,9331,1923,7084,1955,8144,448,397,249
"AGO3",3776,5479,9781,5137,5980,5741,6025,4268,6203,1622,6877,1743,5755,240,258,176
"AGO4",2284,3137,6316,3090,2005,2893,2722,1494,2412,804,2453,805,1852,277,294,89
"AGPAT1",593,1158,2022,1541,980,1132,1021,496,1270,346,1118,317,859,105,97,49
"AGPAT2",295,417,780,497,122,143,158,101,306,85,339,103,239,39,70,17
"AGPAT3",1758,3503,5054,2759,2768,3596,3112,1978,2107,555,1937,670,1501,239,296,111
"AGPAT4",350,598,981,396,741,1204,550,797,650,194,723,191,497,58,54,43
"AGPAT5",4141,4738,13250,4617,2111,2699,1941,1371,3084,909,3563,1371,1855,68,190,65
"AGPS",9118,10430,22907,9624,5140,6463,4879,3649,5072,1568,7039,2143,3387,257,280,158
"AGRN",171,894,679,681,145,370,178,163,1202,281,1334,277,913,44,24,11
"AGTPBP1",7364,9106,16088,6734,9791,11475,8691,7396,4874,1479,6487,1927,3368,722,579,323
"AGTRAP",508,1218,1063,565,584,1206,455,359,733,199,808,277,490,191,132,60
"AHCTF1",3727,4928,14609,4755,6165,7311,7000,6361,7026,2185,8156,2147,5819,279,361,206
"AHCTF1P1",25,43,127,31,44,73,65,32,48,12,31,14,19,0,4,0
"AHCY",6417,7137,11007,7906,2368,4228,1873,1470,2236,1009,3298,1316,1476,228,202,72
"AHCYL1",3493,4463,9784,4487,2054,3060,2280,1055,3008,876,3267,1003,2368,185,243,67
"AHCYL2",1171,1464,3368,1317,1352,1632,1062,905,1252,351,1471,386,1073,69,53,27
"AHDC1",181,592,792,707,347,666,460,473,1294,263,788,176,1020,63,74,26
"AHI1",1185,1431,3526,1587,402,513,621,819,1969,336,1568,499,1220,23,46,20
"AHI1-DT",20,32,64,23,13,13,15,4,47,9,34,13,32,0,0,0
"AHNAK",7339,16636,13286,16665,72280,88577,82026,104200,8504,2557,7615,2604,8695,10685,12842,4238
"AHNAK2",11,45,22,15,0,3,0,1,52,15,27,19,13,0,0,0
"AHR",5720,9164,11660,6485,7981,10624,7266,6190,2940,791,3580,1315,1641,772,473,279
"AHRR",51,98,132,94,72,167,42,107,120,51,119,21,33,5,2,1
"AHSA1",3334,4158,8985,4175,2876,4072,2652,1250,3663,1492,4909,1344,2525,207,271,90
"AHSA2P",1362,2211,3421,2012,1569,3560,1616,2843,5121,1064,5598,1161,5044,80,54,36
"AIDA",2301,2908,6046,3028,3993,4922,4765,2735,2333,590,2750,749,2125,217,420,124
"AIF1",5454,8987,11990,8852,2852,5020,2039,1899,2953,933,4352,1805,1514,433,361,137
"AIF1L",289,420,415,213,46,185,9,45,86,97,249,125,88,3,0,0
"AIFM1",1547,2351,4790,2375,988,1726,1153,654,1620,628,2288,750,1127,93,74,25
"AIFM2",133,176,399,181,139,148,151,66,350,73,258,99,219,10,17,10
"AIG1",431,603,576,470,648,759,451,375,224,67,315,70,162,28,14,20
"AIM2",187,182,266,156,43,36,123,33,32,8,14,5,18,2,24,3
"AIMP1",4407,5982,9753,4330,4678,6707,4083,3166,2539,767,3150,1099,1710,176,156,86
"AIMP2",1041,1116,2166,762,466,878,375,258,453,183,513,242,287,29,28,12
"AIP",3027,3843,7559,2703,3349,4500,3157,1967,3377,1134,3864,1021,2022,277,320,127
"AIRE",20,51,15,20,7,1,11,7,43,1,32,3,22,0,3,0
"AJAP1",13,149,912,70,1,41,133,29,36,30,28,23,65,2,3,0
"AJM1",17,36,33,24,21,38,15,32,73,14,60,8,42,19,7,7
"AJUBA",229,358,827,250,72,131,78,64,339,117,352,64,273,2,7,2
