Country,Continent,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
Sudan,Africa,63742,5001,58284,457,562941,45992020
Mauritania,Africa,63665,997,62437,231,1009957,4901981
Cabo Verde,Africa,63229,413,62756,60,401622,567678
Bhutan,Asia,62605,21,61564,1020,2303734,787941
Syria,Asia,57453,3164,54289,0,146269,19364809
Burundi,Africa,53492,38,53394,60,345742,12624840
Seychelles,Africa,50665,172,50440,53,,99426
Gabon,Africa,48981,306,48674,1,1621909,2331533
Andorra,Africa,47839,165,47563,111,249838,77463
Papua New Guinea,Asia,46750,670,43982,2098,249149,9292169
Curacao,South America,45986,295,44720,971,496693,165529
Aruba,South America,43993,236,42438,1319,177885,107609
Mauritius,Africa,41652,1043,39943,666,358675,1274727
Togo,Africa,39354,290,39061,3,806803,8680837
Guinea,Africa,38240,467,37757,16,660107,13865691
Bahamas,North America,37491,833,36366,292,257839,400516
Lesotho,Africa,34790,723,25980,8087,431221,2175699
Haiti,North America,34076,860,33033,183,132422,11680283
Mali,Africa,32783,743,31957,83,789342,21473764
Cayman Islands,North America,31472,37,8553,22882,222773,67277
Saint Lucia,North America,29803,409,29095,299,210983,185113
Benin,Africa,27989,163,27823,3,604310,12784726
Somalia,Africa,27318,1361,13182,12775,400466,16841795
Congo,Africa,25375,386,24006,983,347815,5797805
San Marino,Europe,23427,122,23276,29,157634,34085
Timor-Leste,Asia,23415,138,23102,175,278529,1369429
Burkina Faso,Asia,22025,396,21596,33,248995,22102838
Liechtenstein,Europe,21340,89,21237,14,112457,38387
Gibraltar,Europe,20399,111,16579,3709,534283,33704
Grenada,North America,19680,238,19358,84,182981,113475
Bermuda,North America,18766,157,18593,16,1024947,61939
Nicaragua,North America,18491,225,4225,14041,,6779100
South Sudan,Africa,18368,138,18115,115,410280,11618511
Equatorial Guinea,Africa,17190,183,16883,124,365697,1496662
Tonga,Oceania,16734,13,15638,1083,535009,107749
Samoa,Oceania,16087,29,1605,14453,187397,202239
Monaco,Europe,16056,65,15982,9,78646,39783
Dominica,North America,15760,74,15673,13,229344,72344
Djibouti,Africa,15690,189,15427,74,305941,1016097
Gambia,Africa,12586,372,12189,25,155686,2558482
Saint Martin,North America,12233,63,1399,10771,112382,39730
Vanuatu,Oceania,12014,14,11976,24,24976,321832
Greenland,North America,11971,21,2761,9189,164926,56973
Yemen,Africa,11945,2159,9124,662,329592,31154867
Caribbean Netherlands,South America,11661,38,10476,1147,30126,26647
Sint Maarten,North America,11010,89,10905,16,62056,43966
Eritrea,Africa,10189,103,10086,0,23693,3662244
Niger,Africa,9931,312,8890,729,254538,26083660
St. Vincent Grenadines,North America,9585,123,9454,8,113504,111551
Antigua and Barbuda,North America,9106,146,8954,6,18901,99509
Comoros,Africa,8992,161,8827,4,,907419
Guinea-Bissau,Africa,8947,176,8656,115,145231,2063367
Liberia,Africa,8062,294,7766,2,139824,5305117
Chad,Africa,7652,194,4874,2584,191341,17413580
Cook Islands,Oceania,7011,2,6993,16,19690,17571
Saint Kitts and Nevis,North America,6592,46,6537,9,126903,53871
Turks and Caicos,North America,6522,38,6451,33,611527,39741
Sao Tome and Principe,Africa,6280,77,6202,1,29036,227679
Palau,Oceania,5986,9,5976,1,68820,18233
Kiribati,Oceania,5008,18,2703,2287,,123419
Nauru,Oceania,4621,1,4609,11,20509,10903
Anguilla,North America,3904,12,3879,13,51382,15230
Macao,Asia,3488,120,3357,11,7850,667490
Saint Pierre Miquelon,North America,3452,2,2449,1001,25400,5759
Wallis and Futuna,Oceania,3427,7,438,2982,20508,10982
